"age_of_driver","safty_rating","annual_income","past_num_of_claims","liab_prct","claim_est_payout","age_of_vehicle","vehicle_price","vehicle_weight","fraud"
46,85,38301,1,74,7530.940993,9,12885.45235,16161.33381,0
21,75,30445,1,79,2966.024895,4,29429.45218,28691.96422,0
49,87,38923,0,0,6283.888333,3,21701.18195,22090.94758,1
58,58,40605,3,99,6169.747994,4,13198.27344,38329.58106,1
38,95,36380,0,7,4541.38715,7,38060.21122,25876.56319,0
56,72,40240,0,64,5388.645056,4,17688.20498,15234.08204,1
27,80,32952,0,50,8960.072399,7,26411.53682,28994.53868,0
45,86,38069,0,3,6038.501514,5,49267.97071,23206.50804,0
31,80,34324,0,9,5869.947858,5,19929.78577,37277.7591,0
53,76,39699,0,19,8201.183032,6,24156.55616,14259.72587,0
59,93,40753,0,8,6051.751915,3,7697.895045,6736.245994,0
25,75,32194,1,99,4225.808816,5,18676.98753,5011.824995,0
39,35,36635,0,98,4650.054155,6,17917.04586,13752.12455,1
51,75,39322,0,12,6671.129734,5,56012.23143,15393.23312,0
47,87,38516,0,57,6521.146712,4,36074.48477,14712.63063,1
26,83,32592,0,81,8782.034073,7,28340.54126,25538.26508,0
46,81,38293,0,50,4559.869785,3,16442.55536,25421.81041,1
43,96,37609,2,71,6835.285807,5,14937.5385,20063.32729,1
39,91,36639,0,57,6466.409413,4,20088.60345,26804.02332,0
40,76,36876,0,28,1538.279552,6,26225.83063,21347.75102,0
70,90,42499,0,59,3411.943245,8,22996.25703,24842.25389,0
24,80,31796,2,34,5037.605111,7,9224.079753,54331.0653,1
32,82,34674,0,1,9507.865266,2,19493.52905,8507.918045,0
50,85,39119,0,2,1644.576186,8,38604.01817,18023.00599,0
44,85,37855,0,27,4308.093194,2,12562.74575,22076.24297,0
37,65,36117,0,17,5854.332086,6,20679.53061,16762.27489,0
52,68,39512,0,50,5801.718463,3,32411.11668,43143.73673,0
56,67,40259,0,79,6035.780111,2,23285.86257,51321.03238,0
32,89,34654,0,0,7432.543252,6,23283.72654,18770.23633,0
40,84,36893,0,31,7732.19714,3,10546.61343,13309.89239,0
52,84,39496,0,60,5919.395308,8,40471.74613,24617.92855,0
58,84,40599,0,77,2513.927533,6,36977.97876,13998.38666,0
62,82,41269,1,78,2067.590252,5,29135.11188,7881.247872,0
47,69,38508,1,0,4587.728674,5,14550.28805,35403.81217,1
22,49,30902,1,68,7982.336027,5,14373.21383,9739.231253,1
47,79,38483,0,62,5935.970546,3,16908.14613,18564.19126,1
26,93,32591,0,67,7661.866723,7,14372.27717,39002.8018,1
38,63,36387,0,83,1875.688845,3,31261.40239,12837.76488,1
63,93,41428,0,84,3992.977667,4,7458.089109,12713.39417,0
35,63,35551,3,97,5242.562288,4,40839.12416,20542.75429,0
41,81,37119,0,98,11074.49993,5,41916.15961,60022.57867,0
30,72,34025,0,49,5900.507621,10,25069.80315,6791.073297,1
50,90,39117,1,0,5869.3417,4,24211.61531,28250.69734,0
35,86,35561,0,64,4391.006072,2,16064.60673,6696.948989,0
42,37,37368,0,97,2286.855815,9,38782.52542,17732.65318,0
69,68,42336,1,37,2555.179947,1,21442.80756,25705.84281,0
28,85,33327,0,36,1965.753081,10,24573.68055,13930.50033,0
30,79,33993,0,1,2220.849033,5,25063.75455,26149.48866,0
69,70,42352,0,99,1912.52224,9,26679.72093,5636.813285,0
24,80,31767,2,66,4703.710172,6,33478.12617,3021.407359,1
72,82,42785,0,42,8682.020796,3,20033.74414,27290.01654,0
48,53,38712,0,83,2711.993143,6,26247.03449,24320.41749,0
31,78,34326,0,76,1986.437038,5,39131.15578,44658.08904,0
31,83,34347,0,11,7431.434426,4,13544.558,36667.84401,0
48,51,38701,0,83,7283.061425,3,10125.75246,30684.7314,0
39,54,36644,0,40,4165.679595,5,10621.07306,23843.99708,0
78,61,43577,0,25,3908.300991,6,28643.04973,31554.73932,1
38,76,36374,4,40,3594.521866,3,25162.9564,34363.3759,0
58,56,40616,0,99,1346.603764,3,10154.58531,24013.54195,1
59,79,40777,2,93,8969.794924,7,32607.40347,20880.75179,0
33,31,34958,3,48,9148.765275,3,13118.67565,15129.07488,0
31,78,34341,0,93,3244.330615,6,20936.84243,24656.22334,0
31,94,34327,2,2,1899.797609,5,21262.31249,31277.05033,0
71,65,42609,0,77,6133.930266,7,10728.60969,10901.52408,0
22,83,30897,0,0,5801.370911,10,21554.60851,10803.11824,0
66,87,41890,0,0,2687.473644,5,13536.82481,17400.79619,0
41,81,37141,0,4,3844.360693,2,16156.21872,6556.531901,0
32,97,34675,0,69,2474.503079,5,16313.57841,15686.61188,0
55,81,40081,1,7,2022.314343,4,13147.36133,20520.1333,0
33,76,34958,0,61,5364.163592,4,13479.44598,14084.99804,0
55,81,40069,0,10,1795.033024,9,40159.10143,15756.30518,0
44,49,37855,1,39,4117.140948,6,19840.70743,25392.34052,0
66,71,41906,0,7,3352.695861,3,35203.6731,40606.93982,0
60,85,40934,1,7,3249.175753,4,8299.373302,36181.35706,0
41,66,37140,2,92,6627.322834,1,6812.920755,47880.84964,1
35,81,35546,0,46,4944.509605,8,42138.06303,20954.89757,0
46,93,38302,0,45,3855.013775,7,23771.01456,38244.06703,0
32,66,34676,0,8,7142.277506,9,18070.36651,7337.606862,0
24,90,31788,0,52,5479.042762,5,31221.26205,18964.09006,0
53,86,39701,0,71,4883.245075,7,10970.42287,17263.74357,0
50,66,39150,0,49,6117.432577,2,43600.52774,39154.52864,0
29,77,33660,0,96,4027.338224,3,7590.862761,21365.8913,0
45,77,38071,0,7,4728.121428,2,21466.03576,41332.13128,1
33,77,34949,2,5,2920.737089,12,10421.51335,3242.111556,0
27,48,32969,0,2,3240.955927,8,22242.58954,24824.96997,0
26,66,32582,2,68,4881.822384,9,14312.61926,7465.359193,0
34,70,35278,0,11,10369.54802,8,27596.56284,27418.23032,0
57,93,40426,1,22,4440.305755,7,19893.24245,26262.49476,0
26,83,32590,0,93,5146.824903,3,16283.46133,21324.44781,0
28,92,33305,2,92,3946.408329,8,19317.27869,12991.25514,0
51,80,39328,0,87,4062.595137,7,6478.250899,14135.08587,0
46,88,38278,0,49,1286.658045,8,15825.76215,38411.00263,0
38,46,36382,0,55,3734.335783,8,21895.93621,37278.35856,0
42,91,37384,2,49,8115.719809,4,21041.91676,32245.07493,0
40,59,36891,0,27,5450.951543,6,26281.40145,33750.65411,0
22,71,30911,1,48,5274.634531,10,35724.7214,20271.66068,0
53,57,39692,0,75,5768.062532,3,34238.30965,31713.20335,0
56,70,40258,0,99,6148.332688,4,13896.45906,35873.61876,0
52,86,39526,0,50,5204.923027,2,36928.31072,21649.17331,0
52,78,39514,1,4,2960.049707,3,14237.41558,13561.59416,0
58,84,40600,0,32,9126.978739,8,39933.19714,25573.20028,0
61,40,41114,1,7,11188.70141,7,36338.65456,16730.27499,0
25,81,32191,0,2,1216.997259,5,16102.30298,4735.711061,0
40,69,36890,0,73,4252.04811,4,6884.202534,40497.26609,0
45,88,38066,0,94,3335.733492,7,23314.03707,17736.95324,0
57,73,40419,0,39,2916.523076,7,16323.05884,27329.18696,1
22,88,30896,0,98,5765.7997,6,60513.13642,11983.34447,0
24,39,31786,0,80,6022.258251,8,8327.329294,17024.45674,0
36,96,35828,0,84,6636.546243,5,17850.07776,23165.10776,0
37,57,36106,0,95,2156.223939,5,12790.99136,31471.96969,0
48,38,38717,1,0,3342.76429,3,18511.4928,13840.75141,0
33,77,34962,1,22,3104.452494,2,42454.15714,22338.93711,0
54,85,39895,1,31,2461.691792,4,9410.239639,27203.35031,0
55,66,40082,0,35,3029.561522,5,8920.516432,24350.10476,0
48,98,38696,0,50,2713.186754,9,11178.16212,30078.0509,0
39,74,36639,1,43,5034.105527,4,19699.5148,48433.9752,1
34,64,35268,1,6,4495.366963,6,16683.05473,15895.94911,0
56,84,40273,0,0,4958.121964,7,15791.4311,21267.48745,0
41,84,37138,0,87,8846.651091,4,16976.0845,37082.79289,0
29,51,33681,1,5,2116.21426,2,38921.34216,10843.09725,0
46,90,38284,2,0,2817.374483,5,15948.27634,36568.61619,0
34,71,35264,0,15,7040.934617,5,19299.12811,18551.98922,0
55,67,40088,0,2,2369.16912,6,24521.08786,4651.624374,0
45,77,38079,0,61,5703.399697,2,11123.72718,15577.15912,0
53,63,39696,0,79,7317.038348,2,40300.98219,28176.30651,0
32,81,34668,2,49,6985.534407,3,28568.51952,11101.0379,0
54,83,39892,0,55,2561.150058,7,4281.449844,13549.10892,0
40,74,36882,0,91,4953.767076,2,18877.34856,27404.07712,0
41,68,37133,0,99,5914.754935,7,14950.52039,34541.4241,0
52,73,39505,3,77,2275.165594,8,26074.25929,16176.90248,0
56,86,40266,1,17,3968.530851,10,8148.66297,38556.39829,0
34,62,35269,0,50,5789.134785,5,25412.59294,15757.35108,0
35,56,35553,0,38,2979.609863,6,18407.65331,50462.45071,0
36,84,35846,1,39,6152.627333,6,8370.168773,22698.38452,0
38,73,36377,0,0,5629.780509,4,24109.76685,38976.46223,0
35,82,35546,4,25,4698.815476,5,10280.04144,11468.8452,0
34,97,35268,0,12,1634.839251,3,26726.72534,17240.26451,1
20,71,29954,0,49,3437.45185,7,31812.19033,16692.14338,0
22,98,30906,0,45,6959.449217,4,27505.16887,13140.30695,0
62,85,41270,3,80,5693.607468,8,38790.10093,13387.79056,0
34,96,35265,2,50,4229.660181,3,43115.6692,29369.68377,0
56,88,40250,0,94,5750.805851,4,46795.6081,15226.53732,0
32,85,34648,0,76,2702.432549,5,21789.75994,18700.9019,0
50,89,39128,1,99,6189.95955,6,12527.84909,20439.67604,0
80,59,43828,0,84,4185.839004,1,9203.338836,22017.81528,0
51,63,39326,2,80,1911.01975,2,53162.50515,19582.85249,0
52,74,39522,0,13,6412.88499,5,24187.8776,17139.19053,0
48,25,38707,0,50,3404.837697,1,18189.11257,11611.15328,0
47,95,38502,2,100,3762.774234,2,9292.721035,20914.33802,0
48,72,38715,0,76,2635.051395,5,31497.50588,32584.73013,0
34,78,35257,2,64,6612.770279,8,21568.53426,25739.78456,0
37,89,36107,1,83,2564.30927,5,14136.45386,33443.971,0
38,61,36374,1,10,4599.977695,3,11219.44187,12576.6895,0
